DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
mucinex sinus-max,,,,,
mucinex sinus-max sev congest,,,,,
"mucinex sinus-max spray, non-aerosol",,,,,
mucus relief,,,,,
mucus relief chest,,,,,
mucus relief cough,,,,,
mucus relief d tablet,,,,,
"mucus relief d tablet, extended release 12 hr",,,,,
mucus relief dm,,,,,
mucus relief pe,,,,,
mucus relief sinus,,,,,
mugard solution,,,,,
multaq,,,,,
multi-symptom allergy relief,,,,,
multi-vitamin daily,,,,,
multigen,,,,,
multigen folic,,,,,
multigen plus,,,,,
multihance vial,,,,,
"multivitamin,tx-minerals capsule",,,,,
multivitamins with iron tablet,,,,,
mupirocin (bulk) 100 % powder,,,,,
mupirocin cream,,,,,
mupirocin ointment,,,,,
murine ear wax removal system drops,,,,,
muro 128 2 % eye drops,,,,,
muro 128 5 % eye ointment,,,,,
"muse suppository, urethral",,,,,
"mvi, adult no.1 with vit k solution",,,,,
myalept vial,,,,,
myambutol,,,,,
mycamine vial,,,,,
"myco nail a solution, non-",,,,,
mycobutin,,,,,
mycophenolate mofetil,,,,,
"mycophenolate mofetil suspension, reconstituted",,,,,
mycophenolic acid,,,,,
mydayis,,,,,
mydriacyl drops,,,,,
myferon 150,,,,,
myfortic,,,,,
mylanta maximum strength 400 mg-400 mg-40 mg/5 ml oral suspension antacids,,,,,
myleran,,,,,
mylotarg vial,,,,,
mynephrocaps,,,,,
myobloc vial,,,,,
myocalm,,,,,
myoflex cream,,,,,
myorisan,,,,,
myoview vial,,,,,
myrbetriq,,,,,
mysoline,,,,,
mytab gas,,,,,
mytesi,,,,,
myzilra,,,,,
n-acetyl-alpha-d-glucosamine powder,,,,,
nabilone capsule,,,,,
nac,,,,,
nadolol,,,,,
nadolol (bulk) powder,,,,,
nadolol-bendroflumethiazide,,,,,
nafcillin sodium vial with threaded port,,,,,
naftifine gel,,,,,
naftifine hcl cream,,,,,
naftin cream topical antifungals,,,,,
naftin gel topical antifungals,,,,,
nalbuphine hcl ampul,,,,,
nalfon,,,,,
naloxegol tablet,,,,,
naloxone (bulk) powder,,,,,
"naloxone 2 mg/0.4 ml injection,auto-injector opioid antagonists",,,,,
naloxone hcl vial,,,,,
naltrexone (bulk) 100 % powder,,,,,
naltrexone hcl,,,,,
"naltrexone microspheres suspension, extended release, reconstituted (suspension, er, reconstituted)",,,,,
"naltrexone-bupropion tablet, extended release",,,,,
namenda,,,,,
namenda solution,,,,,
namenda xr,,,,,
namzaric,,,,,
nandrolone decanoate 200 mg/ml intramuscular oil androgens/anabolic steroids,,,,,
nano vm 4-8 5 mg-100 mcg oral powder,,,,,
naphcon-a drops,,,,,
naprelan,,,,,
naprosyn,,,,,
naprosyn tablet,,,,,
naproxen,,,,,
naproxen (bulk) powder,,,,,
naproxen sodium,,,,,
naproxen sodium cr,,,,,
naproxen sodium powder,,,,,
"naproxen suspension, (final dose form)",,,,,
naproxen tablet,,,,,
"naproxen-esomeprazole tablet, immediate release and delayed release, biphasic (tablet,ir & release,biphasic)",,,,,
"naproxen-pseudoephedrine tablet, extended release 12 hr",,,,,
naramin,,,,,
naratriptan hcl,,,,,
nardil,,,,,
naropin vial,,,,,
"nasa mist spray, non-aerosol",,,,,
"nasacort spray, non-aerosol",,,,,
nasaflo with packet,,,,,
nasal decongestant,,,,,
nasal decongestant pe,,,,,
"nasal decongestant tablet, extended release",,,,,
"nasal four spray, non-aerosol",,,,,
nasal mist aerosol,,,,,
nasal spray (oxymetazoline) 0.05 %,,,,,
nasal spray (sodium chloride) 0.65 % aerosol,,,,,
"nasal spray extra moisturizing spray, non-aerosol",,,,,
nasalcare refill nasal powder packet,,,,,
nasalcare with irrigator nasal powder packet,,,,,
"nasalcrom aerosol, spray with pump",,,,,
"nascobal spray, non-aerosol",,,,,
"nasonex aerosol, spray with pump",,,,,
"natacyn suspension, drops (final dose form)",,,,,
natalizumab solution,,,,,
"natamycin drops, suspension",,,,,
natazia,,,,,
nateglinide,,,,,
natelle one,,,,,
natesto gel in metered-dose pump,,,,,
natpara cartridge,,,,,
natrecor vial,,,,,
"natroba suspension, topical",,,,,
natrol 5-htp,,,,,
natural herbal diuretic,,,,,
natural pain relieving gel,,,,,
natural psyllium fiber 3.4 gram/5.8 gram oral powder,,,,,
natural senna laxative,,,,,
nature-throid,,,,,
nauzene,,,,,
navelbine vial,,,,,
ne,,,,,
ne solution,,,,,
nebivolol tablet,,,,,
nebupent vial for nebulizer,,,,,
necon,,,,,
necon 0.5/35 (28) 0.5 mg-35 mcg tablet,,,,,
necon 7/7/7 (28) 0.5 mg/0.75 mg/1 mg-35 mcg tablet,,,,,
necon tablet,,,,,
nefazodone hcl,,,,,
"neilmed sinus rinse packet, with device",,,,,
nembutal sodium vial,,,,,
neo-polycin ointment,,,,,
neo-synalar 0.5 % (0.35 base)-0.025 topical cream,,,,,
neo-synalar cream,,,,,
"neo-synephrine 12 hour aerosol, spray with pump",,,,,
neocate junior 16 gram-478 kcal/100 g oral powder,,,,,
neomycin sulfate,,,,,
neomycin sulfate (bulk) powder,,,,,
neomycin-bacitracin-poly-hc ointment,,,,,
neomycin-bacitracin-polymyxin ointment,,,,,
neomycin-polymyxin-dexameth ointment,,,,,
neomycin-polymyxin-gramicidin drops,,,,,
"neomycin-polymyxin-hc suspension, drops (final dose form)",,,,,
"neomycin-polymyxin-hydrocort 3.5 mg-10,000 unit/ml-1 % ear drops,susp",,,,,
"neomycin-polymyxin-hydrocort solution, non-",,,,,
neoprofen vial,,,,,
neosalus cp cream,,,,,
neosporin + pain relief cream,,,,,
neosporin + pain relief ointment,,,,,
neosporin cream,,,,,
neosporin drops,,,,,
neosporin g.u. irrigant ampul,,,,,
neosporin ointment,,,,,
"nepafenac drops, suspension",,,,,
nephro-vite rx,,,,,
nephrocaps,,,,,
nepro carb steady,,,,,
neptazane,,,,,
nerlynx,,,,,
nesina,,,,,
nestabs,,,,,
nestabs abc,,,,,
nestabs dha,,,,,
neulasta syringe,,,,,
"neupro patch, transdermal 24 hours",,,,,
"neurin-sl tablet, sublingual",,,,,
neurontin,,,,,
neurontin capsule,,,,,
neut vial,,,,,
neutraphor cream,,,,,
neutrasal 538 mg mucosal powder in packet,,,,,
neutrogena oil-free acne wash 2 % topical cleanser,,,,,
neutrogena t-gel 0.5 % shampoo,,,,,
neutrogena t/sal 3 % shampoo keratolytics (shampoos),,,,,
"nevanac suspension, drops (final dose form)",,,,,
nexa plus,,,,,
nexafed,,,,,
nexavar,,,,,
nexavir vial,,,,,
nexcare skin crack care film-forming liquid with applicator,,,,,
nexium,,,,,
nexium 24hr,,,,,
"nexium 24hr tablet, delayed release (enteric coated)",,,,,
nexium i.v. vial,,,,,
nexplanon implant,,,,,
next choice one dose,,,,,
"nexterone plastic bag, injection",,,,,
niacin (bulk) powder,,,,,
niacin capsule,,,,,
niacin er,,,,,
niacin flush free,,,,,
niacinamide,,,,,
niacor,,,,,
niaspan,,,,,
nicardipine hcl,,,,,
nicazel,,,,,
nicazel forte,,,,,
"nicoderm cq patch, transdermal 24 hours",,,,,
nicomide,,,,,
nicorette gum,,,,,
nicorette lozenge,,,,,
nicotine cartridge,,,,,
nicotine gum,,,,,
nicotine lozenge,,,,,
"nicotine patch patch, transdermal 24 hours",,,,,
nicotine polacrilex (bulk) 20 % powder,,,,,
nicotrol cartridge,,,,,
"nicotrol ns spray, non-aerosol",,,,,
nifedipine,,,,,
nifedipine (bulk) powder,,,,,
nifedipine er,,,,,
nighttime cold-flu relief capsule,,,,,
nighttime d cold-flu relief,,,,,
nighttime sleep aid,,,,,
nighttime sleep gel,,,,,
nikki,,,,,
nilandron,,,,,
nilotinib capsule,,,,,
nimbex vial,,,,,
nimodipine,,,,,
ninjacof,,,,,
ninjacof-d,,,,,
ninjacof-xg,,,,,
ninlaro,,,,,
nintedanib capsule,,,,,
nisoldipine,,,,,
"nisoldipine tablet, extended release 24 hr calcium channel blockers",,,,,
nitazoxanide suspension for reconstitution,,,,,
nitric acid liquid,,,,,
nitro-bid ointment,,,,,
"nitro-dur patch, transdermal 24 hours",,,,,
nitro-time,,,,,
nitrofurantoin,,,,,
nitrofurantoin macrocrystal (bulk) 100 % powder,,,,,
nitrofurantoin mono-macro,,,,,
nitrofurantoin powder,,,,,
"nitrofurantoin suspension, (final dose form)",,,,,
nitroglycerin,,,,,
nitroglycerin 2 % transdermal ointment,,,,,
nitroglycerin 400 mcg sublingual powder in a packet,,,,,
"nitroglycerin patch patch, transdermal 24 hours",,,,,
"nitroglycerin spray, non-aerosol",,,,,
"nitroglycerin tablet, sublingual",,,,,
nitroglycerin vial,,,,,
"nitrolingual spray, non-aerosol",,,,,
"nitromist aerosol, spray",,,,,
nitropress vial,,,,,
"nitrostat tablet, sublingual",,,,,
nivolumab solution,,,,,
nix creme rinse 1 % topical liquid,,,,,
niz a-d shampoo,,,,,
niz shampoo,,,,,
nizatidine,,,,,
no doz,,,,,
no flush niacin,,,,,
noctiva 0.83 mcg/spray (0.1 ml) nasal spray,,,,,
nodolor,,,,,
nohist-dm,,,,,
nomlands lotion,,,,,
non-aspirin extra strength,,,,,
non-aspirin pain relief,,,,,
non-drowsy allergy,,,,,
non-drying sinus pe,,,,,
nora-be,,,,,
norco,,,,,
norditropin flexpro pen injector,,,,,
norel ad,,,,,
norepinephrine bitartrate vial,,,,,
norethin-eth estra-ferrous fum tablet,,,,,
norethin-eth estra-ferrous fum tablet contraceptives,,,,,
norethindron-ethinyl estradiol,,,,,
norethindron-ethinyl estradiol tablet contraceptives,,,,,
norethindrone,,,,,
norethindrone ac (lupaneta),,,,,
norethindrone acetate (bulk) powder,,,,,
norethindrone-e.estradiol-iron tablet,,,,,
norethindrone-ethin estradiol tablet,,,,,
"norforms suppository, vaginal",,,,,
norgesic forte 50 mg-770 mg-60 mg tablet antiplatelet drugs-excluding asa 325 and below,,,,,
norgestimate-ethinyl estradiol,,,,,
norgestrel-ethiny estra,,,,,
norinyl 1+35,,,,,
noritate cream,,,,,
normal saline flush injection syringe,,,,,
norpace,,,,,
norpace cr,,,,,
norpramin,,,,,
northera,,,,,
nortrel,,,,,
nortrel 1/35 (21) 1 mg-35 mcg tablet,,,,,
nortrel 1/35 (28) 1 mg-35 mcg tablet,,,,,
nortrel tablet,,,,,
nortriptyline (bulk) powder,,,,,
nortriptyline hcl,,,,,
norvasc,,,,,
norvir,,,,,
norvir 100 mg oral powder packet,,,,,
norvir capsule,,,,,
norwegian cod liver oil,,,,,
nourianz 40 mg tablet antiparkinson adjuvant - adenosine receptor antagonist,,,,,
novaferrum drops,,,,,
novarel vial,,,,,
novolin 70-30 vial,,,,,
novolin n vial,,,,,
novolin r vial,,,,,
novolog cartridge,,,,,
novolog flexpen insulin pen,,,,,
novolog mix 70-30 flexpen insulin pen,,,,,
novolog mix 70-30 vial,,,,,
novolog vial,,,,,
noxafil,,,,,
"noxafil tablet, delayed release (enteric coated)",,,,,
np thyroid,,,,,
nplate vial,,,,,
"nts patch, transdermal 24 hours",,,,,
nu-derm cream,,,,,
nu-derm sunfader cream,,,,,
nu-iron 150,,,,,
nucala vial,,,,,
nucort lotion,,,,,
nucynta,,,,,
nucynta er,,,,,
nuedexta,,,,,
nulev,,,,,
nullo,,,,,
nulojix vial,,,,,
nulytely with flavor packs,,,,,
numoisyn liquid,,,,,
nuox gel,,,,,
nuplazid,,,,,
nutren pulmonary,,,,,
nutricap,,,,,
nuvail nail film solution,,,,,
"nuvaring ring, vaginal",,,,,
nuvigil,,,,,
"nyamyc 100,000 unit/gram topical powder",,,,,
nymalize,,,,,
nystatin,,,,,
"nystatin 100,000 unit/gram topical powder",,,,,
nystatin cream,,,,,
"nystatin suspension, (final dose form)",,,,,
nystatin-triamcinolone cream,,,,,
"nystop 100,000 unit/gram topical powder",,,,,
nytol quickcaps,,,,,
o-cal prenatal,,,,,
ob complete one,,,,,
ob complete petite,,,,,
obagi nu-derm clear 4 % topical cream,,,,,
obinutuzumab solution,,,,,
obtrex dha,,,,,
ocaliva,,,,,
ocean blue omega-3,,,,,
ocean blue omega-3 + d3,,,,,
ocean blue prenatal dha,,,,,
ocella,,,,,
ocrevus vial,,,,,
octagam vial,,,,,
octoxynol liquid,,,,,
octreoscan kit,,,,,
octreotide acetate vial,,,,,
octylseal liquid,,,,,
ocuflox drops,,,,,
"ocusoft lid scrub pads, medicated",,,,,
"ocusoft lid scrub plus pads, medicated",,,,,
ocuvite adult 50+ capsule,,,,,
ocuvite lutein & zeaxanthin,,,,,
"odactra tablet, sublingual",,,,,
odefsey,,,,,
odomzo,,,,,
odorless garlic,,,,,
ofatumumab solution,,,,,
ofev,,,,,
ofirmev vial,,,,,
ofloxacin,,,,,
ofloxacin 0.3 % ear drops,,,,,
ofloxacin drops,,,,,
ogestrel,,,,,
oil of oregano,,,,,
olanzapine,,,,,
olanzapine odt,,,,,
olanzapine pamoate suspension for reconstitution,,,,,
olanzapine vial,,,,,
olanzapine-fluoxetine hcl,,,,,
olive leaf extract,,,,,
olive oil oral,,,,,
olmesartan medoxomil,,,,,
olmesartan-amlodipine-hctz,,,,,
olmesartan-hydrochlorothiazide,,,,,
olodaterol mist,,,,,
"olopatadine hcl aerosol, spray with pump",,,,,
olopatadine hcl drops,,,,,
olumiant,,,,,
olux foam,,,,,
olux-e foam,,,,,
olysio,,,,,
"omacetaxine solution, reconstituted (recon soln)",,,,,
"omalizumab solution, reconstituted (recon soln)",,,,,
omeclamox-pak,,,,,
omega 3-6-9,,,,,
omega 3-6-9 complex,,,,,
omega 3-6-9 fatty acids,,,,,
omega-3 + d,,,,,
omega-3 acid ethyl esters,,,,,
"omega-3 capsule,delayed release (enteric coated)",,,,,
"omega-3 fatty acids 1,000 mg capsule",,,,,
"omega-3 fish oil 300 mg-1,000 mg capsule",,,,,
omega-3 fish oil capsule,,,,,
omega-3 krill oil,,,,,
omega-3 krill oil capsule,,,,,
omega-3-dha-epa-dpa-fish oil capsule,,,,,
omega3-vitb6-b12-e-fa-fish oil capsule,,,,,
omeprazole,,,,,
omeprazole (bulk) 100 % powder,,,,,
"omeprazole capsule,delayed release (enteric coated)",,,,,
omeprazole magnesium,,,,,
"omeprazole magnesium suspension, delayed release, reconstituted (suspension, reconstitut)",,,,,
"omeprazole magnesium tablet, delayed release (enteric coated)",,,,,
omeprazole-clarith-amoxicillin combination package,,,,,
omeprazole-sodium bicarbonate,,,,,
omera,,,,,
omidria vial,,,,,
"omnaris aerosol, spray with pump",,,,,
omnicap,,,,,
omnipaque 300 mg iodine/ml intravenous solution,,,,,
omnipaque 350 mg iodine/ml intravenous solution,,,,,
omnipaque vial,,,,,
"omnipred suspension, drops (final dose form)",,,,,
omniscan vial,,,,,
omnitrope cartridge,,,,,
"onabotulinumtoxina solution, reconstituted (recon soln)",,,,,
oncaspar vial,,,,,
oncovite,,,,,
ondansetron film,,,,,
ondansetron hcl,,,,,
ondansetron hcl (bulk) 100 % powder,,,,,
ondansetron hcl vial,,,,,
ondansetron odt,,,,,
one a day women's prenatal dha,,,,,
one daily women's health,,,,,
one daily womens 50 plus,,,,,
one paste,,,,,
one-a-day,,,,,
one-a-day essential,,,,,
one-a-day maximum formula,,,,,
one-a-day men's,,,,,
one-a-day men's 50 plus tablet,,,,,
one-a-day menopause formula,,,,,
one-a-day teen advantage,,,,,
one-a-day trubiotics,,,,,
one-a-day vitacraves,,,,,
one-a-day women vitacraves,,,,,
one-a-day women's,,,,,
onexton gel,,,,,
onfi,,,,,
onglyza,,,,,
onmel,,,,,
onzetra xsail 11 mg powder for nasal inhalation,,,,,
opana,,,,,
opana ampul,,,,,
opana er,,,,,
opcon-a drops,,,,,
opdivo vial,,,,,
opium tincture,,,,,
opsumit,,,,,
optifast 70,,,,,
optiflex-c,,,,,
optimal d3,,,,,
optimark vial,,,,,
optiray 320 syringe,,,,,
optiray 350 vial,,,,,
optison vial,,,,,
oracea,,,,,
oracit,,,,,
orap,,,,,
orapred odt,,,,,
"orasep spray, non-aerosol",,,,,
"oravig tablet, buccal, muco-adhesive",,,,,
orazinc,,,,,
orencia clickject auto-injector,,,,,
orencia syringe,,,,,
orencia vial,,,,,
orenitram er,,,,,
orfadin,,,,,
organ-i nr,,,,,
orilissa,,,,,
"oritavancin solution, reconstituted (recon soln)",,,,,
orkambi,,,,,
orlistat capsule,,,,,
orphenadrine citrate,,,,,
orphenadrine citrate ampul,,,,,
orphenadrine citrate powder,,,,,
orphenadrine-asa-caffeine 50 mg-770 mg-60 mg tablet antiplatelet drugs-excluding asa 325 and below,,,,,
orphengesic forte 50 mg-770 mg-60 mg tablet antiplatelet drugs-excluding asa 325 and below,,,,,
orsythia,,,,,
ortho micronor,,,,,
ortho tri-cyclen,,,,,
ortho tri-cyclen lo,,,,,
ortho-cyclen,,,,,
ortho-nesic gel,,,,,
ortho-novum,,,,,
ortho-novum tablet,,,,,
orthovisc syringe,,,,,
os-cal 500-vit d3,,,,,
oscimin,,,,,
"oscimin sl tablet, sublingual",,,,,
"oscimin tablet,disintegrating",,,,,
oseltamivir phosphate,,,,,
oseltamivir suspension for reconstitution,,,,,
oseni,,,,,
osmolite 1.5 cal,,,,,
osmoprep,,,,,
ospemifene tablet,,,,,
osphena,,,,,
osteo bi-flex,,,,,
osteo bi-flex 250 mg-200 mg tablet,,,,,
osteo bi-flex tablet,,,,,
ostera,,,,,
otezla,,,,,
"otezla tablet, dose pack",,,,,
otrexup auto-injector,,,,,
outgro liquid,,,,,
ovace cleanser,,,,,
"ovace plus cleanser, extended release",,,,,
ovace plus cream,,,,,
ovace plus foam,,,,,
ovace plus shampoo,,,,,
"ovasitol 2,000 mg-50 mg oral powder packet",,,,,
ovcon-35,,,,,
ovide lotion,,,,,
ovidrel syringe,,,,,
oxacillin sodium vial with threaded port,,,,,
"oxacillin solution, piggyback premix frozen",,,,,
oxaliplatin vial,,,,,
oxandrin,,,,,
oxandrolone,,,,,
oxaprozin,,,,,
oxaydo,,,,,
oxazepam,,,,,
oxcarbazepine,,,,,
oxcarbazepine tablet,,,,,
"oxcarbazepine tablet, extended release 24 hr",,,,,
oxervate drops,,,,,
oxipor vhc lotion,,,,,
oxistat cream,,,,,
oxsoralen-ultra,,,,,
oxtellar xr,,,,,
oxybutynin chloride er,,,,,
oxybutynin chloride gel in packet,,,,,
"oxybutynin patch, transdermal semiweekly",,,,,
oxycodone (bulk) 100 % powder,,,,,
oxycodone hcl,,,,,
oxycodone hcl er,,,,,
oxycodone hcl solution,,,,,
oxycodone hcl-aspirin,,,,,
oxycodone hcl-ibuprofen,,,,,
"oxycodone myristate capsule sprinkle, extended release 12 hour (tamper resistant) (capsule sprinkle,er hr(tamper resist))",,,,,
"oxycodone tablet, oral only",,,,,
oxycodone-acetaminophen,,,,,
oxycontin,,,,,
"oxymetazoline hcl spray, non-aerosol",,,,,
oxymetholone tablet,,,,,
oxymorphone hcl,,,,,
oxymorphone hcl er,,,,,
oxytocin (bulk) powder,,,,,
oxytocin vial,,,,,
"oxytocin-0.9% nacl plastic bag, injection",,,,,
"oxytocin-d5w plastic bag, injection",,,,,
"oxytrol for women patch,transdermal 4 day",,,,,
"oxytrol patch, transdermal semiweekly",,,,,
"oxyzal wet dressing solution, non-",,,,,
oyster shell + d,,,,,
oyster shell calcium-vit d3,,,,,
ozempic pen injector,,,,,
ozurdex implant,,,,,
pacerone,,,,,
paclitaxel vial,,,,,
paclitaxel-protein bound suspension for reconstitution,,,,,
pacnex cleanser,,,,,
pain & fever,,,,,
pain & sleep,,,,,
pain relief adult,,,,,
pain relief extra strength,,,,,
pain relief extra strength tablet,,,,,
pain relief pm,,,,,
pain relief regular strength 325 mg tablet,,,,,
"pain relief tablet, extended release",,,,,
pain reliever,,,,,
pain reliever (acetaminophen-aspirin) 250 mg-250 mg-65 mg tablet,,,,,
pain reliever extra strength 500 mg tablet,,,,,
pain reliever plus,,,,,
pain reliever pm,,,,,
palbociclib capsule,,,,,
paliperidone er,,,,,
paliperidone palmitate syringe,,,,,
palonosetron solution,,,,,
pamabrom tablet,,,,,
pamelor,,,,,
pamidronate disodium vial,,,,,
pamprin max,,,,,
pamprin multi-symptom,,,,,
panax ginseng,,,,,
pancreaze,,,,,
pandel cream,,,,,
panhematin vial,,,,,
panoxyl cream,,,,,
panoxyl-4 cleanser,,,,,
pantoprazole sodium,,,,,
pantoprazole sodium vial,,,,,
pantothenic acid,,,,,
papaverine (bulk) powder,,,,,
papaverine hcl vial,,,,,
papaya enzyme,,,,,
papaya tablet,,,,,
parafon forte dsc,,,,,
paragard t 380-a intrauterine device,,,,,
paregoric,,,,,
paricalcitol,,,,,
parlodel,,,,,
parnate,,,,,
paroex mouthwash,,,,,
paromomycin sulfate,,,,,
paroxetine er,,,,,
paroxetine hcl,,,,,
paroxetine hcl suspension,,,,,
paroxetine mesylate tablet,,,,,
pataday drops,,,,,
"patanase aerosol, spray with pump",,,,,
patanol drops,,,,,
paxil,,,,,
paxil cr,,,,,
"paxil suspension, (final dose form)",,,,,
pazeo drops,,,,,
pazopanib tablet,,,,,
pc tar shampoo,,,,,
pcca cosmetic hrt base cream,,,,,
pcca custom lipo-max cream,,,,,
"ped multivit#142-iron-fluoride tablet, chewable",,,,,
pedia relief cough-cold,,,,,
pedialyte oral solution,,,,,
pediapred,,,,,
pediasure sidekicks liquid,,,,,
pediatric electrolyte oral solution,,,,,
peg 3350-electrolytes-vitamin c 100 g-7.5 g-2.691 g-4.7 g powder pack,,,,,
peg 400-propylene glycol drops,,,,,
"peg3350-sod sul-nacl-kcl-asb-c powder in packet, sequential",,,,,
peganone,,,,,
pegasys proclick pen injector,,,,,
pegasys vial,,,,,
pegfilgrastim syringe,,,,,
peginterferon alfa-2a solution,,,,,
peginterferon alfa-2b kit,,,,,
pegintron kit,,,,,
pegintron redipen pen injector kit,,,,,
"pegvisomant solution, reconstituted (recon soln)",,,,,
"pembrolizumab solution, reconstituted (recon soln)",,,,,
"pemetrexed solution, reconstituted (recon soln)",,,,,
penciclovir cream,,,,,
penderm cream,,,,,
penetran + plus lotion,,,,,
penicillamine 250 mg capsule wilson's disease treatment agents,,,,,
penicillin g benzathine syringe,,,,,
penicillin g potassium vial,,,,,
penicillin g procaine syringe,,,,,
penicillin g sodium vial,,,,,
"penicillin gk-iso-osm dextrose solution, piggyback premix frozen",,,,,
penicillin v potassium,,,,,
"penlac solution, non-",,,,,
pennsaid solution in metered-dose pump,,,,,
pentam 300 vial,,,,,
pentamidine 300 mg solution for inhalation antiprotozoal agents,,,,,
pentasa,,,,,
pentazocine-naloxone hcl,,,,,
pentosan polysulfate sodium capsule,,,,,
pentostatin vial,,,,,
pentoxifylline,,,,,
pepcid,,,,,
pepcid ac,,,,,
pepcid ac tablet peptic ulcer agents,,,,,
pepcid complete,,,,,
"pepcid suspension, (final dose form)",,,,,
peppermint,,,,,
peppermint oil oral,,,,,
peptamen,,,,,
peptamen 1.5,,,,,
pepto-bismol,,,,,
"pepto-bismol tablet, chewable",,,,,
peramivir (pf) solution,,,,,
perative,,,,,
percogesic,,,,,
percogesic extra strength,,,,,
percura,,,,,
perdiem,,,,,
perflutren lipid microspheres suspension,,,,,
perform pain relieving 3.1 % topical gel dermatological irritants-counter-irritant formulations,,,,,
perforomist vial for nebulizer,,,,,
peri-colace,,,,,
peridex mouthwash,,,,,
peridin-c,,,,,
perindopril erbumine,,,,,
perindopril-amlodipine tablet,,,,,
periogard mouthwash,,,,,
periomed solution,,,,,
permethrin 1 % topical liquid,,,,,
"permethrin aerosol, spray",,,,,
permethrin cream,,,,,
permethrin liquid,,,,,
"peroxide sore mouth cleanser solution, non-",,,,,
"peroxyl dental rinse solution, non-",,,,,
perphenazine-amitriptyline,,,,,
persa-gel gel,,,,,
petrolatum ointment,,,,,
pexeva,,,,,
pfizerpen vial,,,,,
phazyme,,,,,
"phenadoz suppository, rectal",,,,,
phenagil,,,,,
phenagil ch,,,,,
"phenaseptic spray, non-aerosol",,,,,
phenazopyridine (bulk) 100 % powder,,,,,
phenazopyridine hcl,,,,,
phendimetrazine tartrate,,,,,
phenelzine sulfate,,,,,
"phenergan suppository, rectal",,,,,
phenergan vial,,,,,
phenobarbital,,,,,
phenobarbital (bulk) powder,,,,,
phenobarbital sodium vial,,,,,
phenohytro,,,,,
"phenol aerosol, spray",,,,,
phenoxybenzamine hcl,,,,,
phentermine hcl,,,,,
phentermine hcl (bulk) 100 % powder,,,,,
"phentermine-topiramate capsule, extended release multiphase 24 hr (capsule, er hr)",,,,,
phentolamine mesylate vial,,,,,
phenylade 40 10 gram-84 kcal/25 gram oral powder packet,,,,,
phenylalanine 50 mg oral powder packet,,,,,
phenylbutazone powder,,,,,
phenylephrine 0.4 mg/10 ml (40 mcg/ml) in 0.9 %sod.chloride iv syringe,,,,,
phenylephrine hcl (bulk) 100 % powder,,,,,
"phenylephrine hcl spray, non-aerosol",,,,,
phenylephrine hcl suppository,,,,,
"phenylephrine hcl tablet, chewable",,,,,
phenylephrine hcl vial,,,,,
phenylephrine-cocoa butter suppository,,,,,
phenylhistine dh,,,,,
phenytek,,,,,
phenytoin,,,,,
phenytoin (bulk) powder,,,,,
phenytoin sodium ampul,,,,,
phenytoin sodium extended,,,,,
"phenytoin suspension, (final dose form)",,,,,
philith,,,,,
phillips' colon health,,,,,
phillips' milk of magnesia,,,,,
phlexy-vits,,,,,
phos-nak 280 mg-160 mg-250 mg oral powder packet,,,,,
phospha 250 neutral,,,,,
phosphasal,,,,,
phosphate laxative,,,,,
phosphatidyl serine (bulk) 20 % powder,,,,,
phospholine iodide drops,,,,,
phosphorated carbohydrate solution,,,,,
photofrin vial,,,,,
phytomulti,,,,,
picato gel,,,,,
pilocarpine hcl,,,,,
pilocarpine hcl drops,,,,,
pimecrolimus cream,,,,,
pimozide,,,,,
pimtrea,,,,,
pin-x,,,,,
"pin-x suspension, (final dose form)",,,,,
pindolol,,,,,
"pink bismuth suspension, (final dose form)",,,,,
pioglitazone hcl,,,,,
pioglitazone-metformin,,,,,
"pioglitazone-metformin tablet, extended release multiphase 24 hr (tablet, er hr)",,,,,
piperacillin-tazobactam vial,,,,,
piqray 250 mg/day (200 mg x 1-50 1) tablet antineoplastic - phosphatidylinositol 3-kinase alpha inhib.,,,,,
pirfenidone capsule,,,,,
pirmella,,,,,
piroxicam,,,,,
piroxicam (bulk) 100 % powder,,,,,
pitavastatin tablet,,,,,
pitocin vial,,,,,
plan b one-step,,,,,
plaquenil,,,,,
plasma protein fraction parenteral solution,,,,,
plavix,,,,,
plegridy pen injector,,,,,
plenvu 140 gram-9 gram-5.2 gram powder pack,,,,,
plexion cleanser,,,,,
plexion cream,,,,,
plexion lotion,,,,,
"plexion pads, medicated",,,,,
plo gel mediflo pre-mixed,,,,,
pneumococcal 23-val ps vaccine solution,,,,,
pneumovax 23 vial,,,,,
pnv 29-1,,,,,
pnv-dha,,,,,
pnv-ob with dha,,,,,
pnv-select,,,,,
podiapn,,,,,
podofilox gel,,,,,
"podofilox solution, non-",,,,,
podophyllum resin liquid,,,,,
polar freeze gel,,,,,
poly hist forte tablet,,,,,
poly-hist pd,,,,,
poly-iron,,,,,
poly-iron 150 forte,,,,,
poly-tussin ac,,,,,
poly-vent dm,,,,,
poly-vent ir,,,,,
poly-vi-sol,,,,,
poly-vi-sol with iron,,,,,
polyethylene glycol 1000 powder,,,,,
polyethylene glycol 1450 powder,,,,,
polyethylene glycol 300 liquid,,,,,
polyethylene glycol 3350 17 gram/dose oral powder,,,,,
polymyxin b sul-trimethoprim drops,,,,,
polypeg suppository wax,,,,,
polysaccharide iron 150,,,,,
"polysorbate 20 solution, non-",,,,,
"polysorbate 80 solution, non-",,,,,
"polysporin 500 unit-10,000 unit/gram topical ointment",,,,,
